State,Number of UFO sightings,"Sightings",Rank
Washington,5894,78.22,1
Montana,823,77.47,2
Vermont,482,76.96,3
Alaska,560,75.94,4
Maine,940,70.23,5
Oregon,2844,67.86,6
New Hampshire,916,67.53,7
New Mexico,1308,62.42,8
Wyoming,327,56.6,9
Arizona,4028,56.17,10
Idaho,966,55.07,11
Rhode Island,492,46.53,12
Nevada,1387,45.71,13
Colorado,2489,43.7,14
Connecticut,1543,43.19,15
West Virginia,736,40.76,16
Hawaii,532,37.45,17
Missouri,2287,37.33,18
Utah,1176,37.2,19
South Dakota,315,35.7,20
South Carolina,1807,35.54,21
California,13559,34.28,22
Wisconsin,1973,33.94,23
Delaware,316,32.67,24
Kansas,951,32.66,25
Iowa,1005,31.84,26
Arkansas,958,31.79,27
Massachusetts,2122,30.74,28
Florida,6534,30.68,29
Ohio,3566,30.51,30
Indiana,2035,30.41,31
Pennsylvania,3887,30.35,32
Kentucky,1351,30.23,33
Michigan,2997,29.98,34
Minnesota,1680,29.94,35
Oklahoma,1163,29.49,36
Nebraska,568,29.44,37
North Carolina,2957,28.48,38
Illinois,3616,28.38,39
North Dakota,212,27.89,40
Tennessee,1834,27.09,41
New Jersey,2274,25.53,42
Virginia,2150,25.24,43
Maryland,1486,24.59,44
New York,4689,23.99,45
Alabama,10882,22.26,46
Mississippi,642,21.5,47
Georgia,2149,20.43,48
Louisiana,927,19.89,49
Texas,4969,17.31,50
